Stock_Level_s,Service_Level_alpha,Max_Lambda_Capacity
5,0.5,4.670908882795984
5,0.51,4.61726504196923
5,0.52,4.564003163365217
5,0.53,4.5110895501871715
5,0.54,4.458491247132129
5,0.55,4.406175899311983
5,0.56,4.354111614713475
5,0.57,4.302266828668823
5,0.58,4.250610168814904
5,0.59,4.199110318991974
5,0.6,4.147735880470542
5,0.61,4.096455228794881
5,0.62,4.045236364387945
5,0.63,3.9940467548696432
5,0.64,3.9428531667888866
5,0.65,3.8916214841480308
5,0.66,3.84031651069101
5,0.67,3.7889017524129733
5,0.68,3.737339176103225
5,0.69,3.685588938919499
5,0.7,3.633609082963803
5,0.71,3.581355187526111
5,0.72,3.528779969999372
5,0.73,3.4758328243347387
5,0.74,3.422459283146285
5,0.75,3.3686003859773335
5,0.76,3.3141919315097956
5,0.77,3.2591635852154437
5,0.78,3.203437805515291
5,0.79,3.1469285400625457
5,0.8,3.089539628019695
5,0.81,3.0311628222432336
5,0.82,2.971675314221763
5,0.83,2.9109365998927497
5,0.84,2.848784458932666
5,0.85,2.785029722107981
5,0.86,2.719449351361987
5,0.87,2.6517771221320023
5,0.88,2.581690817758027
5,0.89,2.508794212775366
5,0.9,2.4325910259626857
5,0.91,2.352446042497959
5,0.92,2.2675248332150413
5,0.93,2.176695865831034
5,0.94,2.0783621459074686
5,0.95,1.9701495680595305
5,0.96,1.8482707224783448
5,0.97,1.7060342735602647
5,0.98,1.5295257054343596
5,0.99,1.2791060800942167
6,0.5,5.670161188712069
6,0.51,5.6109718239885416
6,0.52,5.5521614917456015
6,0.53,5.493693113259757
6,0.54,5.435530324328556
6,0.55,5.377637319115267
6,0.56,5.319978697047642
6,0.57,5.262519311056047
6,0.58,5.20522411542752
6,0.59,5.148058011505313
6,0.6,5.090985689375805
6,0.61,5.033971463552128
6,0.62,4.976979100480309
6,0.63,4.91997163545112
6,0.64,4.86291117618815
6,0.65,4.805758689984961
6,0.66,4.748473770763234
6,0.67,4.6910143817938765
6,0.68,4.633336569032082
6,0.69,4.575394139022002
6,0.7,4.5171382940700875
6,0.71,4.45851721579257
6,0.72,4.399475586109919
6,0.73,4.339954032151469
6,0.74,4.27988847815797
6,0.75,4.2192093830678985
6,0.76,4.157840836680766
6,0.77,4.0956994795926445
6,0.78,4.032693201759087
6,0.79,3.9687195604886436
6,0.8,3.9036638393305294
6,0.81,3.8373966423320036
6,0.82,3.769770879905414
6,0.83,3.700617947466801
6,0.84,3.629742817200916
6,0.85,3.5569176423214666
6,0.86,3.4818732879083765
6,0.87,3.40428791135292
6,0.88,3.323771244969847
6,0.89,3.2398424476170296
6,0.9,3.1518980297921617
6,0.91,3.059163889050779
6,0.92,2.960620786982371
6,0.93,2.8548830544971318
6,0.94,2.73998943383788
6,0.95,2.6130147441963203
6,0.96,2.469274325822281
6,0.97,2.3004518799717637
6,0.98,2.0891435432992957
6,0.99,1.785284485302198
7,0.5,6.669637074549773
7,0.51,6.605376487939834
7,0.52,6.541492138911642
7,0.53,6.477943837231463
7,0.54,6.4146920817549455
7,0.55,6.351697890351877
7,0.56,6.288922632430721
7,0.57,6.2263278621756735
7,0.58,6.163875150586002
7,0.59,6.101525914341995
7,0.6,6.0392412394102895
7,0.61,5.97698169713875
7,0.62,5.9147071503703605
7,0.63,5.852376546816671
7,0.64,5.789947696561362
7,0.65,5.72737703009667
7,0.66,5.664619332706551
7,0.67,5.601627450272493
7,0.68,5.53835196065141
7,0.69,5.474740803610441
7,0.7,5.410738860833457
7,0.71,5.346287475650245
7,0.72,5.281323899761382
7,0.73,5.2157806511787195
7,0.74,5.149584763650764
7,0.75,5.082656902688532
7,0.76,5.014910316522311
7,0.77,4.946249581298696
7,0.78,4.876569087703081
7,0.79,4.80575119970732
7,0.8,4.7336639934392135
7,0.81,4.66015845246845
7,0.82,4.585064950858804
7,0.83,4.508188790546489
7,0.84,4.429304464476282
7,0.85,4.348148174382645
7,0.86,4.264407913611315
7,0.87,4.177710081850385
7,0.88,4.087601042794208
7,0.89,3.9935211064801246
7,0.9,3.8947668048763773
7,0.91,3.7904344037723012
7,0.92,3.6793320075420897
7,0.93,3.5598362648689195
7,0.94,3.4296448164226567
7,0.95,3.285315691894688
7,0.96,3.1213213151077257
7,0.97,2.9278154055063164
7,0.98,2.684098709944839
7,0.99,2.3302125313288857
8,0.5,7.6692494425008
8,0.51,7.600287894533637
8,0.52,7.531699922329422
8,0.53,7.463442438923587
8,0.54,7.395473022386981
8,0.55,7.327749732759888
8,0.56,7.260230931157849
8,0.57,7.1928750990005375
8,0.58,7.125640655278794
8,0.59,7.058485769691893
8,0.6,6.991368169353257
8,0.61,6.924244936572136
8,0.62,6.857072294962793
8,0.63,6.789805380800614
8,0.64,6.722397996120846
8,0.65,6.65480233952145
8,0.66,6.586968709960827
8,0.67,6.518845178001098
8,0.68,6.450377217894222
8,0.69,6.381507292584412
8,0.7,6.312174382029841
8,0.71,6.242313443128537
8,0.72,6.171854786831146
8,0.73,6.100723354552812
8,0.74,6.028837871505141
8,0.75,5.9561098487079995
8,0.76,5.882442397722295
8,0.77,5.807728811878221
8,0.78,5.731850853970228
8,0.79,5.654676671612945
8,0.8,5.576058235581492
8,0.81,5.495828160316714
8,0.82,5.413795714508133
8,0.83,5.329741755722797
8,0.84,5.243412214414743
8,0.85,5.154509589769334
8,0.86,5.0626816700098
8,0.87,4.967506296727134
8,0.88,4.868470356315364
8,0.89,4.764940116650539
8,0.9,4.656118176898002
8,0.91,4.540978939651975
8,0.92,4.418168094363162
8,0.93,4.285838543830045
8,0.94,4.141366557379482
8,0.95,3.98082278618945
8,0.96,3.7978837571187616
8,0.97,3.5812563675329434
8,0.98,3.3071186906660333
8,0.99,2.9061062350674822
9,0.5,8.668951184370368
9,0.51,8.595588105879365
9,0.52,8.522596064111424
9,0.53,8.449929251211637
9,0.54,8.377542501517864
9,0.55,8.305391096270807
9,0.56,8.233430570090501
9,0.57,8.16161651701832
9,0.58,8.089904393874818
9,0.59,8.018249318584344
9,0.6,7.946605860962151
9,0.61,7.874927823242433
9,0.62,7.803168007336855
9,0.63,7.731277965439548
9,0.64,7.6592077301205315
9,0.65,7.586905519452328
9,0.66,7.514317411966459
9,0.67,7.441386985299955
9,0.68,7.368054911218452
9,0.69,7.294258498228356
9,0.7,7.219931171130276
9,0.71,7.145001874507503
9,0.72,7.069394384134276
9,0.73,6.993026506423517
9,0.74,6.915809141030568
9,0.75,6.837645175199146
9,0.76,6.7584281698332065
9,0.77,6.678040785832987
9,0.78,6.596352883840406
9,0.79,6.51321920959191
9,0.8,6.42847654820597
9,0.81,6.3419401903821635
9,0.82,6.253399496230304
9,0.83,6.162612259826456
9,0.84,6.069297456157115
9,0.85,5.973125769948616
9,0.86,5.873707026331729
9,0.87,5.770573203222971
9,0.88,5.663154992300308
9,0.89,5.5507486817153895
9,0.9,5.43246805825443
9,0.91,5.307172256443096
9,0.92,5.173353269320318
9,0.93,5.028952153451403
9,0.94,4.87104071481233
9,0.95,4.695227540344492
9,0.96,4.494433950746631
9,0.97,4.2559925029615995
9,0.98,3.9531106734291894
9,0.99,3.507455450586291
10,0.5,9.668714614714101
10,0.51,9.591198648562363
10,0.52,9.514051291023387
10,0.53,9.437224160715365
10,0.54,9.36066949667098
10,0.55,9.284339951469807
10,0.56,9.20818838575143
10,0.57,9.132167661763965
10,0.58,9.056230433542067
10,0.59,8.980328931193368
10,0.6,8.904414736597124
10,0.61,8.828438547576065
10,0.62,8.75234992728212
10,0.63,8.67609703512421
10,0.64,8.599626335043945
10,0.65,8.522882276288477
10,0.66,8.445806941007794
10,0.67,8.36833965197566
10,0.68,8.290416532445853
10,0.69,8.21197000853793
10,0.7,8.132928242506393
10,0.71,8.053214482660199
10,0.72,7.972746312398665
10,0.73,7.89143477658945
10,0.74,7.809183358024634
10,0.75,7.7258867695238616
10,0.76,7.641429517810365
10,0.77,7.55568418271881
10,0.78,7.4685093383879675
10,0.79,7.379747020079197
10,0.8,7.28921960853526
10,0.81,7.196725959439045
10,0.82,7.1020365425692455
10,0.83,7.004887264366567
10,0.84,6.904971513995361
10,0.85,6.801929772452469
10,0.86,6.69533581641122
10,0.87,6.584678063628386
10,0.88,6.469333820794691
10,0.89,6.348532878177349
10,0.9,6.221304605225031
10,0.91,6.086398538483476
10,0.92,5.942160484094514
10,0.93,5.786329923696864
10,0.94,5.615688830505326
10,0.95,5.425405697091293
10,0.96,5.207682083261633
10,0.97,4.948539646622825
10,0.98,4.618349277563412
10,0.99,4.130199166273196
11,0.5,10.668522403836304
11,0.51,10.58706431084236
11,0.52,10.505972498040942
11,0.53,10.4251961363295
11,0.54,10.344684996181245
11,0.55,10.264389229754201
11,0.56,10.184259154012237
11,0.57,10.104245032375328
11,0.58,10.024296852344142
11,0.59,9.944364096414112
11,0.6,9.864395503399418
11,0.61,9.78433881702077
11,0.62,9.704140518260179
11,0.63,9.623745537536449
11,0.64,9.543096942186617
11,0.65,9.462135594025053
11,0.66,9.380799770859857
11,0.67,9.299024744730373
11,0.68,9.216742308233442
11,0.69,9.133880238551518
11,0.7,9.050361686583953
11,0.71,8.966104475776946
11,0.72,8.881020291668587
11,0.73,8.795013738566421
11,0.74,8.707981233820455
11,0.75,8.619809702379527
11,0.76,8.530375024072484
11,0.77,8.439540172417368
11,0.78,8.347152965410384
11,0.79,8.253043323760973
11,0.8,8.15701989758384
11,0.81,8.05886587437574
11,0.82,7.95833371268984
11,0.83,7.855138447137409
11,0.84,7.748949065059039
11,0.85,7.639377237106875
11,0.86,7.52596234903012
11,0.87,7.40815125424438
11,0.88,7.285270311024269
11,0.89,7.156485834101362
11,0.9,7.020746594710985
11,0.91,6.87669746439975
11,0.92,6.722544604510838
11,0.93,6.555834883687631
11,0.94,6.373073230893284
11,0.95,6.169007289395324
11,0.96,5.93514998973452
11,0.97,5.656268001937114
11,0.98,5.300014304572006
11,0.99,4.771246169392535
12,0.5,11.668363153044755
12,0.51,11.583144548302933
12,0.52,11.498289984988725
12,0.53,11.413746295307094
12,0.54,11.329460891034831
12,0.55,11.245381535088129
12,0.56,11.161456113748642
12,0.57,11.07763240693354
12,0.58,10.993857853812278
12,0.59,10.9100793109281
12,0.6,10.82624279976959
12,0.61,10.742293240447516
12,0.62,10.658174167753032
12,0.63,10.57382742538788
12,0.64,10.489192833544843
12,0.65,10.404207824248681
12,0.66,10.318807037908197
12,0.67,10.232921873330534
12,0.68,10.146479981948131
12,0.69,10.059404695123398
12,0.7,9.971614371019335
12,0.71,9.88302164450948
12,0.72,9.793532559754084
12,0.73,9.703045560127313
12,0.74,9.611450303779618
12,0.75,9.518626264761771
12,0.76,9.424441068620348
12,0.77,9.328748496708755
12,0.78,9.231386073720351
12,0.79,9.132172126072025
12,0.8,9.030902161693746
12,0.81,8.927344369924283
12,0.82,8.82123396656773
12,0.83,8.712266002803217
12,0.84,8.600086100165298
12,0.85,8.484278338853178
12,0.86,8.36434916568122
12,0.87,8.239705619140677
12,0.88,8.109625246287967
12,0.89,7.973213539285972
12,0.9,7.829342026256412
12,0.91,7.6765552513104645
12,0.92,7.512925489347162
12,0.93,7.335814893547939
12,0.94,7.141462633622335
12,0.95,6.9242125135851085
12,0.96,6.67491640580328
12,0.97,6.377135637160751
12,0.98,5.995911023472515
12,0.99,5.428180737766139
13,0.5,12.668229058738634
13,0.51,12.57940856452397
13,0.52,12.490949953863396
13,0.53,12.402797815939014
13,0.54,12.314897300247463
13,0.55,12.227193878049968
13,0.56,12.13963310414098
13,0.57,12.052160376194234
13,0.58,11.964720688852106
13,0.59,11.877258379565632
13,0.6,11.789716862961924
13,0.61,11.702038350203688
13,0.62,11.614163549398445
13,0.63,11.526031342595443
13,0.64,11.43757843425349
13,0.65,11.34873896524256
13,0.66,11.259444085417424
13,0.67,11.169621476521748
13,0.68,11.079194815579783
13,0.69,10.988083166921657
13,0.7,10.89620028845274
13,0.71,10.803453834561626
13,0.72,10.709744433958067
13,0.73,10.614964615459279
13,0.74,10.518997547914383
13,0.75,10.42171555153771
13,0.76,10.322978326164932
13,0.77,10.222630826291477
13,0.78,10.120500691681867
13,0.79,10.016395113639478
13,0.8,9.910096977436147
13,0.81,9.801360066009678
13,0.82,9.689903031362157
13,0.83,9.575401726433084
13,0.84,9.45747932298077
13,0.85,9.335693389818674
13,0.86,9.209518719784326
13,0.87,9.078324085373762
13,0.88,8.941340115706195
13,0.89,8.79761383192822
13,0.9,8.645942494869379
13,0.91,8.484774171173685
13,0.92,8.312052364446522
13,0.93,8.12496153422389
13,0.94,7.9194851353107385
13,0.95,7.689578291630866
13,0.96,7.4254564265548
13,0.97,7.109519923346161
13,0.98,6.704292273177963
13,0.99,6.099073461752802
14,0.5,13.668114599344902
14,0.51,13.575832320574163
14,0.52,13.483909840775016
14,0.53,13.39228959093647
14,0.54,13.30091454377667
14,0.55,13.209727965452428
14,0.56,13.11867316725932
14,0.57,13.027693254459383
14,0.58,12.936730869270464
14,0.59,12.84572792487933
14,0.6,12.754625327092967
14,0.61,12.66336267990914
14,0.62,12.571877970853242
14,0.63,12.480107231376088
14,0.64,12.387984166911313
14,0.65,12.295439750320716
14,0.66,12.202401771368105
14,0.67,12.10879433350538
14,0.68,12.014537287555907
14,0.69,11.919545589748209
14,0.7,11.823728568864166
14,0.71,11.726989083856374
14,0.72,11.629222548938055
14,0.73,11.530315797557726
14,0.74,11.430145749428606
14,0.75,11.328577835322992
14,0.76,11.225464121870786
14,0.77,11.120641061993396
14,0.78,11.013926774247365
14,0.79,10.905117723896776
14,0.8,10.793984636512546
14,0.81,10.680267416099877
14,0.82,10.56366875621958
14,0.83,10.443846011875893
14,0.84,10.320400722311438
14,0.85,10.192864908004083
14,0.86,10.06068285504074
14,0.87,9.923186453374987
14,0.88,9.779561105930947
14,0.89,9.628797465056566
14,0.9,9.469621185958747
14,0.91,9.300387303325882
14,0.92,9.118915130204925
14,0.93,8.922217725311777
14,0.94,8.706031837793157
14,0.95,8.463937522211252
14,0.96,8.185535875788121
14,0.97,7.852106315231206
14,0.98,7.423740586039931
14,0.99,6.782354877309408
15,0.5,14.668015758330794
15,0.51,14.57239662621534
15,0.52,14.477135275191912
15,0.53,14.382172053947436
15,0.54,14.287447834920942
15,0.55,14.192903756610558
15,0.56,14.098480965553678
15,0.57,14.004120355000024
15,0.58,13.909762297184367
15,0.59,13.815346365920528
15,0.6,13.720811045974468
15,0.61,13.626093425320123
15,0.62,13.53112886592151
15,0.63,13.435850648100688
15,0.64,13.34018958281556
15,0.65,13.24407358525211
15,0.66,13.14742720198795
15,0.67,13.050171082551822
15,0.68,12.952221384411486
15,0.69,12.853489098173343
15,0.7,12.753879276940147
15,0.71,12.653290150176353
15,0.72,12.551612097840044
15,0.73,12.448726454640948
15,0.74,12.344504106642466
15,0.75,12.23880383244313
15,0.76,12.131470328010957
15,0.77,12.022331836714894
15,0.78,11.91119728249688
15,0.79,11.797852771974647
15,0.8,11.682057286895034
15,0.81,11.563537326264994
15,0.82,11.441980169255046
15,0.83,11.317025302471292
15,0.84,11.188253367510896
15,0.85,11.05517170272443
15,0.86,10.917195119624745
15,0.87,10.773619870742653
15,0.88,10.62358765592857
15,0.89,10.46603465214548
15,0.9,10.299617307292673
15,0.91,10.12260073016683
15,0.92,9.932684174888813
15,0.93,9.726714978641365
15,0.94,9.500191321452249
15,0.95,9.246330490976735
15,0.96,8.95413927487755
15,0.97,8.603812340977472
15,0.98,8.15308735836463
15,0.99,7.47672826422773
16,0.5,15.66792954431725
16,0.51,15.56908587149598
16,0.52,15.470598022864447
16,0.53,15.372404333225013
16,0.54,15.27444364370929
16,0.55,15.176655034987453
16,0.56,15.078977559843352
16,0.57,14.981349972021649
16,0.58,14.883710448130113
16,0.59,14.785996299183124
16,0.6,14.688143668092389
16,0.61,14.59008720903657
16,0.62,14.491759744156766
16,0.63,14.393091892409519
16,0.64,14.294011664635322
16,0.65,14.19444401793399
16,0.66,14.094310361232113
16,0.67,13.993528002422519
16,0.68,13.892009525573368
16,0.69,13.78966208434126
16,0.7,13.686386594743052
16,0.71,13.582076806662254
16,0.72,13.476618228643762
16,0.73,13.369886874332492
16,0.74,13.261747790883222
16,0.75,13.152053319179615
16,0.76,13.040641021869687
16,0.77,12.927331196802603
16,0.78,12.811923868646174
16,0.79,12.694195117665643
16,0.8,12.573892557997697
16,0.81,12.450729712467137
16,0.82,12.324378938210183
16,0.83,12.194462423274173
16,0.84,12.060540576943271
16,0.85,11.922096839868882
16,0.86,11.7785174839551
16,0.87,11.629064252470707
16,0.88,11.472836522649175
16,0.89,11.308717712687113
16,0.9,11.135297238322115
16,0.91,10.950753100604006
16,0.92,10.752668245029326
16,0.93,10.537729444951248
16,0.94,10.301203704855675
16,0.95,10.035956732274144
16,0.96,9.730419221926685
16,0.97,9.363734088865309
16,0.98,8.891355790518228
16,0.99,8.181107773832917
17,0.5,16.66785368373961
17,0.51,16.565887154930635
17,0.52,16.464274549389874
17,0.53,16.36295225012939
17,0.54,16.261857129574718
17,0.55,16.160926273953656
17,0.56,16.06009670675252
17,0.57,15.959305108036176
17,0.58,15.858487526294697
17,0.59,15.75757907927155
17,0.6,15.656513639931914
17,0.61,15.555223503336085
17,0.62,15.453639029674141
17,0.63,15.351688258072384
17,0.64,15.249296484971739
17,0.65,15.146385799865305
17,0.66,15.042874569919714
17,0.67,14.938676863429041
17,0.68,14.833701800079556
17,0.69,14.72785281353045
17,0.7,14.621026808696689
17,0.71,14.513113192165417
17,0.72,14.403992749129916
17,0.73,14.29353633373745
17,0.74,14.18160333134356
17,0.75,14.068039840184136
17,0.76,13.952676505496934
17,0.77,13.835325919834714
17,0.78,13.715779477337449
17,0.79,13.593803534334919
17,0.8,13.46913467979473
17,0.81,13.341473850743771
17,0.82,13.210478930589545
17,0.83,13.075755327770057
17,0.84,12.936843825285603
17,0.85,12.79320468074211
17,0.86,12.644196478418698
17,0.87,12.489047480592898
17,0.88,12.32681600042465
17,0.89,12.156334262789123
17,0.9,11.976126635449655
17,0.91,11.784286583301725
17,0.92,11.578284166692441
17,0.93,11.354650305369335
17,0.94,11.108427583705554
17,0.95,10.83214035627599
17,0.96,10.513659890604961
17,0.97,10.131107563152659
17,0.98,9.637719589968736
17,0.99,8.894573461773458
18,0.5,17.66778641778846
18,0.51,17.56278966680452
18,0.52,17.45814498976721
18,0.53,17.35378687458623
18,0.54,17.249650282135082
18,0.55,17.145670362072565
18,0.56,17.041782167442264
18,0.57,16.93792036473808
18,0.58,16.834018935983536
18,0.59,16.730010869151027
18,0.6,16.625827832936995
18,0.61,16.521399831495795
18,0.62,16.416654834203097
18,0.63,16.311518374844464
18,0.64,16.205913113778543
18,0.65,16.099758355566824
18,0.66,15.992969513243876
18,0.67,15.885457508757927
18,0.68,15.777128097055307
18,0.69,15.667881098702251
18,0.7,15.557609522683316
18,0.71,15.446198556889792
18,0.72,15.333524398545025
18,0.73,15.21945289004497
18,0.74,15.1038379169224
18,0.75,14.986519513185076
18,0.76,14.867321604166719
18,0.77,14.746049296897104
18,0.78,14.622485600886757
18,0.79,14.4963874252718
18,0.8,14.367480647260201
18,0.81,14.23545397541868
18,0.82,14.099951229841812
18,0.83,13.960561514520194
18,0.84,13.816806541155213
18,0.85,13.668124038880006
18,0.86,13.513845684851148
18,0.87,13.353167202541025
18,0.88,13.185106994464778
18,0.89,13.008447527209821
18,0.9,12.821649939925534
18,0.91,12.622725519994729
18,0.92,12.40903458359926
18,0.93,12.176956520006842
18,0.94,11.921315696328234
18,0.95,11.634304509446885
18,0.96,11.303250119040047
18,0.97,10.905280157518128
18,0.98,10.391472429683708
18,0.99,9.616337916077073
19,0.5,18.667726364571674
19,0.51,18.559784242030307
19,0.52,18.45219239185431
19,0.53,18.344883458873504
19,0.54,18.237790544862104
19,0.55,18.130846916025927
19,0.56,18.02398570898511
19,0.57,17.91713963183651
19,0.58,17.810240656729945
19,0.59,17.70321970016039
19,0.6,17.596006286852532
19,0.61,17.48852819268311
19,0.62,17.380711061531137
19,0.63,17.27247799024272
19,0.64,17.16374907501593
19,0.65,17.05444091141
19,0.66,16.944466038811875
19,0.67,16.833732318481548
19,0.68,16.72214223215931
19,0.69,16.609592085531986
19,0.7,16.49597109747131
19,0.71,16.38116035166342
19,0.72,16.265031581770184
19,0.73,16.147445754219287
19,0.74,16.028251403595835
19,0.75,15.907282663683644
19,0.76,15.784356921478919
19,0.77,15.659272000546023
19,0.78,15.531802751866707
19,0.79,15.401696891872472
19,0.8,15.268669874253135
19,0.81,15.132398507797074
19,0.82,14.992512926837149
19,0.83,14.848586368087753
19,0.84,14.700121982634869
19,0.85,14.54653557355216
19,0.86,14.387132629296456
19,0.87,14.22107720193122
19,0.88,14.04734884539526
19,0.89,13.864681589624677
19,0.9,13.671475021121433
