,Adina - Winsome Resources - Eeyou Istchee Region,Caber Complex - Nuvau Minerals - Matagami,Hopes Advance - Oceanic Iron Ore Corporation - Aupaluk (Nunavik),Kwyjibo - SOQUEM - Eeyou Istchee Region,Lac Knife - Focus Graphite - Fermont,Lac Otelnuk - MetalQuest Mining - Naskapi First Nation of Kawawachikamach,Lac Scott - Yorbeau Resources - Chibougamau,Matawinie - Nouveau Monde Graphite - Matawinie,Perron - Amex Exploration - Norm√©tal,Troilus - Troilus Gold Corporation - Mistissini,Detour Lake - Agnico Eagle Mines Ltd. - Cochrane District,Hoyle Pond - Discovery Silver Corp. - Timmins,"Greenstone - Equinox Gold Corp, Greenstone Gold Mines LP - Geraldton",Kenbridge - Tartisan Nickel Corp. - Fisher lake - Kenora,Macassa - Agnico Eagle Mines Ltd. - Kirkland Lake,Magino - Alamos Gold Inc. - Dubreuilville,Musselwhite - Orla Mining Ltd. - Kenora,Pardo Paleoplacer - Inventus Mining Corp. - Sudbury,Penhorwood - Magris Talc Canada Inc. - Timmins,Thierry - XXIX Metal Corp. - Sudbury,Distribution CenterMontreal - Saint-Laurent,Facility 1 Chibougamau,Facility 2 Trois-Rivière,Facility 3 Schefferville,Facility 4 Red Lake,Facility 5 Sudbury
Macassa - Agnico Eagle Mines Ltd. - Kirkland Lake,623.049736,250.5305352,1415.06208,623.049736,1051.904145,1182.826418,457.6317529,531.1718016,105.9175513,492.5278347,124.911975,102.8412082,536.196889,1002.551534,0,335.9264594,787.0335944,179.0945938,102.8412082,179.0945938,562.4446075,457.6317529,813.7760493,1175.386452,1045.324667,179.0945938
Magino - Alamos Gold Inc. - Dubreuilville,732.7679574,529.1155835,1559.143729,732.7679574,1327.847857,1423.115047,761.9727341,856.4409687,388.5054165,788.3085661,270.6954537,238.4472472,233.0030042,672.389227,335.9264594,0,501.0299712,341.7472407,238.4472472,341.7472407,879.7066633,761.9727341,1147.234461,1417.259306,731.8971543,341.7472407
Musselwhite - Orla Mining Ltd. - Kenora,823.360022,880.9686313,1554.76926,823.360022,1563.16511,1587.116341,1103.172451,1316.428164,789.84657,1112.260484,675.2398562,685.6321234,268.0752872,325.2408324,787.0335944,501.0299712,0,839.7186404,685.6321234,839.7186404,1349.472682,1103.172451,1535.554993,1584.468118,280.8975905,839.7186404
Pardo Paleoplacer - Inventus Mining Corp. - Sudbury,800.6005324,419.8623701,1593.285998,800.6005324,1199.979046,1345.078907,600.0280277,545.6650327,284.2474238,640.1122901,271.2770493,209.6712976,573.0086613,1003.392303,179.0945938,341.7472407,839.7186404,0,209.6712976,0,557.7146885,600.0280277,895.651933,1337.160624,1072.657806,0
Penhorwood - Magris Talc Canada Inc. - Timmins,612.5407505,305.4309462,1425.779166,612.5407505,1113.791861,1229.407296,531.5300157,633.9026452,155.930512,561.6744223,68.68924676,0,433.362473,900.5287017,102.8412082,238.4472472,685.6321234,209.6712976,0,209.6712976,664.3016174,531.5300157,908.8153222,1222.605896,942.5497122,209.6712976
Thierry - XXIX Metal Corp. - Sudbury,800.6005324,419.8623701,1593.285998,800.6005324,1199.979046,1345.078907,600.0280277,545.6650327,284.2474238,640.1122901,271.2770493,209.6712976,573.0086613,1003.392303,179.0945938,341.7472407,839.7186404,0,209.6712976,0,557.7146885,600.0280277,895.651933,1337.160624,1072.657806,0
Distribution CenterMontreal - Saint-Laurent,966.5237033,556.8128993,1563.112363,966.5237033,947.7975205,1158.584667,494.9396222,62.8521971,575.8911211,535.6318432,677.9134196,664.3016174,1095.938829,1551.810483,562.4446075,879.7066633,1349.472682,557.7146885,664.3016174,557.7146885,0,494.9396222,453.1808382,1148.229706,1605.280216,557.7146885
Facility 1 Chibougamau ,497.7666474,234.9054926,1088.826611,497.7666474,599.951215,756.509287,0,432.5497902,375.7871468,46.20071051,491.3898302,531.5300157,904.9152963,1378.72311,457.6317529,761.9727341,1103.172451,600.0280277,531.5300157,600.0280277,494.9396222,0,440.5508363,747.7746395,1382.700414,600.0280277
Facility 2 Trois-Rivière,903.6249613,654.7403969,1258.518894,903.6249613,552.8339646,784.1495914,440.5508363,414.3992269,765.5464253,445.2454163,887.720929,908.8153222,1320.708838,1796.596014,813.7760493,1147.234461,1535.554993,895.651933,908.8153222,895.651933,453.1808382,440.5508363,0,773.2040299,1812.774229,895.651933
Facility 3 Schefferville,761.1129916,925.1284872,528.8726783,761.1129916,223.5193821,10.96906928,747.7746395,1089.988189,1075.467354,703.579473,1164.079041,1222.605896,1479.952891,1904.626775,1175.386452,1417.259306,1584.468118,1337.160624,1222.605896,1337.160624,1148.229706,747.7746395,773.2040299,0,1852.489459,1337.160624
Facility 4 Red Lake,1093.119137,1158.09493,1783.284608,1093.119137,1839.939827,1854.600898,1382.700414,1576.448273,1059.210684,1392.616776,940.9379034,942.5497122,509.4371594,162.3191258,1045.324667,731.8971543,280.8975905,1072.657806,942.5497122,1072.657806,1605.280216,1382.700414,1812.774229,1852.489459,0,1072.657806
Facility 5 Sudbury ,800.6005324,419.8623701,1593.285998,800.6005324,1199.979046,1345.078907,600.0280277,545.6650327,284.2474238,640.1122901,271.2770493,209.6712976,573.0086613,1003.392303,179.0945938,341.7472407,839.7186404,0,209.6712976,0,557.7146885,600.0280277,895.651933,1337.160624,1072.657806,0
